experiment,target,model,family,selection_MAE,selection_RMSE,selection_MAPE,selection_R2,complexity,expression,notes,fit_seconds,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate,selection_score
geometry_holdout,Nuavg,positive_complexity_gp_sr,symbolic,4.67524090482677,6.172355080599051,30.47517799311965,0.44763300125973815,13,"Nuavg = exp(sqrt(mul(1.334, add(add(mul(1.334, add(log(Pr), porosity)), porosity), porosity))))","Complexity-penalized GP-SR on log target, enforcing positive predictions.",0.6148243000498042,0.0,0.0,0.0,0.0,0.0,0.0014637729499794394,0.009338729768543313,1.437498025366622,0.0,1.0333333333333334
sparse_20,Nuavg,ordinary_power_law,symbolic,1.210429476620635,2.568232607915381,6.205642139763361,0.9152570838793443,8,Nuavg = 2.3357102 Re^{0.282447} Pr^{0.304111} Da^{-0.00424435} porosity^{-0.0597556} thickness^{0.15393} exp(-0.0278585amplitude) exp(-0.00720884wavelength),Log-linear ordinary least-squares power-law correlation.,0.0017630000365898013,0.0,0.0,0.0,0.0,0.0,0.0026174392609261566,0.01298645313023218,2.2012816416178334,0.0,1.1
sparse_20,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.7116504919598388,1.6600018450904799,3.1263031764872045,0.9645960405539905,14,Nuavg = exp(1.44048 + 6.98611e-05 Re + 0.0493088 log(Re) + 0.0183211 sqrt(Re) + 0.00293608 Pr - 0.00140695 log(Da) - 1.52753 sqrt(Da) + 0.889613 thickness - 0.0997277 amplitude - 0.00471662 wavelength + 0.0516587 log(Re)log(Pr) + 0.00067115 log(Re)log(Da) - 0.00722031 log(Re)log(porosity) - 0.00121674 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.04873140004929155,0.0,0.0,0.0,0.0,0.0,0.003288495664040981,0.012723942756230431,2.6643661591508048,0.0,0.14
sparse_40,Nuavg,ordinary_power_law,symbolic,1.279072138899405,2.557747750535491,6.4082028183537725,0.9272945333391023,8,Nuavg = 2.3432487 Re^{0.283779} Pr^{0.297006} Da^{-0.00638006} porosity^{0.0218271} thickness^{0.151838} exp(-0.112925amplitude) exp(-0.00417913wavelength),Log-linear ordinary least-squares power-law correlation.,0.001254500006325543,0.0,0.0,0.0,0.0,0.0,0.002523684572002442,0.012600591763012373,2.246571336500398,0.0,1.1
sparse_40,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6550450606642672,1.4778345023594945,2.8772788531997135,0.97572812947381,15,Nuavg = exp(1.43518 + 0.0398701 log(Re) + 0.0212705 sqrt(Re) + 0.00234264 Pr + 0.00773149 sqrt(Pr) - 0.000472475 log(Da) - 1.46735 sqrt(Da) + 0.00870108 log(porosity) + 0.910278 thickness - 0.134977 amplitude - 0.00291223 wavelength + 0.0505041 log(Re)log(Pr) + 0.000337144 log(Re)log(Da) - 0.00233438 log(Re)log(thickness) - 0.000252825 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.05509310006164014,0.0,0.0,0.0,0.0,0.0,0.0032077836857487075,0.012460778451062885,2.7436853721371603,0.0,0.14
sparse_60,Nuavg,ordinary_power_law,symbolic,1.1925972911637879,2.193780381873037,6.071401796768718,0.9451834043988101,8,Nuavg = 2.3738869 Re^{0.283236} Pr^{0.300047} Da^{-0.00471407} porosity^{0.00135874} thickness^{0.155772} exp(-0.138036amplitude) exp(-0.00363272wavelength),Log-linear ordinary least-squares power-law correlation.,0.0013072999427095056,0.0,0.0,0.0,0.0,0.0,0.0025687605633018524,0.012592626984004558,2.2317238942058606,0.0,1.1
sparse_60,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6194951962821882,1.2816846900644951,2.79026054298559,0.9812893809557044,14,Nuavg = exp(1.40359 + 5.60195e-05 Re + 0.0520238 log(Re) + 0.018393 sqrt(Re) + 0.00220857 Pr + 0.0104103 sqrt(Pr) - 38.1065 Da - 0.00201744 log(Da) + 0.885138 thickness - 0.146409 amplitude - 0.00252326 wavelength + 0.050247 log(Re)log(Pr) + 0.000436431 log(Re)log(Da) - 0.000593971 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.06466210004873574,0.0,0.0,0.0,0.0,0.0,0.003209106393885,0.012364650649096844,2.713513306526676,0.0,0.14
sparse_80,Nuavg,ordinary_power_law,symbolic,1.0534516477003826,1.8014828351950896,6.0289937779708325,0.9555305210001376,8,Nuavg = 2.3206085 Re^{0.286227} Pr^{0.301773} Da^{-0.00541131} porosity^{-0.00104025} thickness^{0.15453} exp(-0.13788amplitude) exp(-0.00424734wavelength),Log-linear ordinary least-squares power-law correlation.,0.005282300058752298,0.0,0.0,0.0,0.0,0.0,0.0026142085753673786,0.012833804861015562,2.2306204667886127,0.0,1.1
sparse_80,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.5633446968894834,1.1045524476258233,2.8047362678868164,0.9832823792348582,16,Nuavg = exp(1.42596 + 7.38651e-05 Re + 0.0508726 log(Re) + 0.0184778 sqrt(Re) + 0.00162706 Pr + 0.016864 sqrt(Pr) - 0.76152 Da - 0.000204031 log(Da) - 1.54591 sqrt(Da) + 0.000498889 porosity + 0.875483 thickness - 0.138208 amplitude - 0.00290768 wavelength + 0.0494743 log(Re)log(Pr) + 0.000380747 log(Re)log(Da) - 0.000336676 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.09428910003043711,0.0,0.0,0.0,0.0,0.0,0.0032457835371813054,0.012647012666617836,2.6933463934900086,0.0,0.14
noise_1,Nuavg,ordinary_power_law,symbolic,1.120312217073808,2.0162394242962867,6.018960970664623,0.9503209297134777,8,Nuavg = 2.3456209 Re^{0.283914} Pr^{0.301882} Da^{-0.00539812} porosity^{0.00229049} thickness^{0.154656} exp(-0.132063amplitude) exp(-0.00415062wavelength),Log-linear ordinary least-squares power-law correlation.,0.002042100066319108,0.0,0.0,0.0,0.0,0.0,0.0025798020568681013,0.012720585746184458,2.245898909151587,0.0,1.1
noise_1,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.593696802175757,1.1998024239762481,2.8458944483210127,0.9824082629484149,14,Nuavg = exp(1.43809 + 5.82193e-06 Re + 0.0437987 log(Re) + 0.0213883 sqrt(Re) + 0.00210321 Pr + 0.0102777 sqrt(Pr) - 0.000782946 log(Da) - 1.49326 sqrt(Da) + 0.878341 thickness - 0.128448 amplitude - 0.00342824 wavelength + 0.0504174 log(Re)log(Pr) + 0.000479034 log(Re)log(Da) - 0.000153858 log(Pr)log(Da)),"Sparse log-target model over raw, log, sqrt and log-product basis terms.",0.10877990000881255,0.0,0.0,0.0,0.0,0.0,0.0032435154399276947,0.012666087604781525,2.725208999703358,0.0,0.14
noise_3,Nuavg,ordinary_power_law,symbolic,1.204026736850216,2.1032014740086433,6.505801246387246,0.9461778187747708,8,Nuavg = 2.3537022 Re^{0.284217} Pr^{0.302645} Da^{-0.00523427} porosity^{0.0111098} thickness^{0.155834} exp(-0.12188amplitude) exp(-0.00488734wavelength),Log-linear ordinary least-squares power-law correlation.,0.0015292000025510788,0.0,0.0,0.0,0.0,0.0,0.0025845453212921784,0.012769925094224864,2.2538994362898928,0.0,1.1
