experiment,target,model,family,high_error_detection_AUROC,finite_violation_rate,positive_violation_rate,extra_finite_violation_rate,extra_positive_violation_rate,derivative_sign_violation_rate,sensitivity_median,sensitivity_p95,extrapolation_stability_index,physics_violation_rate
sparse_80,Nuavg,ordinary_power_law,symbolic,0.5497744691774544,0.0,0.0,0.0,0.0,0.0,0.002758307123008512,0.015094644772900201,2.219818778366439,0.0
sparse_80,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6574791888224724,0.0,0.0,0.0,0.0,0.0,0.003322397925589567,0.015017763666280916,2.686600555790606,0.0
sparse_80,Nuavg,certified_symbolic,symbolic,0.6574791888224724,0.0,0.0,0.0,0.0,0.0,0.003322397925589567,0.015017763666280916,2.686600555790606,0.0
sparse_80,Nuavg,random_forest,black_box,0.7632549781803514,0.0,0.0,0.0,0.0,0.0,0.0,0.0006495834006103542,2.7597682623569337,0.0
sparse_80,Nuavg,xgboost_hist,black_box,0.6686750522571417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9950112603555055,0.0
noise_1,Nuavg,ordinary_power_law,symbolic,0.5705746452015109,0.0,0.0,0.0,0.0,0.0,0.0027426663896692994,0.01499188406423649,2.2205843298599035,0.0
noise_1,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.666562763577689,0.0,0.0,0.0,0.0,0.0,0.0033244802901893356,0.014994764281179785,2.70919918193677,0.0
noise_1,Nuavg,certified_symbolic,symbolic,0.666562763577689,0.0,0.0,0.0,0.0,0.0,0.0033244802901893356,0.014994764281179785,2.70919918193677,0.0
noise_1,Nuavg,random_forest,black_box,0.6120613150463897,0.0,0.0,0.0,0.0,0.0,0.0,0.0040314674347740566,2.775793100764395,0.0
noise_1,Nuavg,xgboost_hist,black_box,0.6813011111518574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9926155416763753,0.0
noise_3,Nuavg,ordinary_power_law,symbolic,0.5667314532986176,0.0,0.0,0.0,0.0,0.0,0.002745119197885325,0.014986423022641613,2.22957954763755,0.0
noise_3,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6648025230114781,0.0,0.0,0.0,0.0,0.0,0.003341660900838943,0.014980405981803769,2.721352222602451,0.0
noise_3,Nuavg,certified_symbolic,symbolic,0.6648025230114781,0.0,0.0,0.0,0.0,0.0,0.003341660900838943,0.014980405981803769,2.721352222602451,0.0
noise_3,Nuavg,random_forest,black_box,0.5937181414793354,0.0,0.0,0.0,0.0,0.0,0.0,0.006211520390441745,2.8184166026525994,0.0
noise_3,Nuavg,xgboost_hist,black_box,0.6685063625362132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9913980017871458,0.0
noise_5,Nuavg,ordinary_power_law,symbolic,0.5772195533389564,0.0,0.0,0.0,0.0,0.0,0.002740060316088415,0.014987293874745731,2.2278375112945747,0.0
noise_5,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6599361912794749,0.0,0.0,0.0,0.0,0.0,0.0033164611627753892,0.01492789425500983,2.704802673636903,0.0
noise_5,Nuavg,certified_symbolic,symbolic,0.6599361912794749,0.0,0.0,0.0,0.0,0.0,0.0033164611627753892,0.01492789425500983,2.704802673636903,0.0
noise_5,Nuavg,random_forest,black_box,0.579760900656423,0.0,0.0,0.0,0.0,0.0,0.0,0.015283835685170638,2.8053105225263915,0.0
noise_5,Nuavg,xgboost_hist,black_box,0.7055594264549486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974536023537138,0.0
random80_20,DelP_Pa,ordinary_power_law,symbolic,0.2933257545197844,0.0,0.0,0.0,0.0,0.0,0.008456472168754158,0.04774351271995769,3.080088042144062,0.0
random80_20,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.40831713667534564,0.0,0.0,0.0,0.0,0.0,0.007888926694040206,0.04712291004225401,3.1743851949840565,0.0
random80_20,DelP_Pa,unconstrained_gp_sr,symbolic,0.6304961678096007,0.0,0.0,0.0,0.0,0.0,0.0044216884938287435,0.027247569167730506,2.484825570040256,0.0
random80_20,DelP_Pa,positive_complexity_gp_sr,symbolic,0.6374234478712091,0.0,0.0,0.0,0.0,0.0,0.004962750814705504,0.036136338875761474,2.2223168562394324,0.0
random80_20,DelP_Pa,certified_symbolic,symbolic,0.40831713667534564,0.0,0.0,0.0,0.0,0.0,0.007888926694040206,0.04712291004225401,3.1743851949840565,0.0
random80_20,DelP_Pa,random_forest,black_box,0.6961971469434157,0.0,0.0,0.0,0.0,0.0,0.0,0.00201164741734608,3.6638202096856287,0.0
random80_20,DelP_Pa,xgboost_hist,black_box,0.4635043455938978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993628513684633,0.0
range_re_high_holdout,DelP_Pa,ordinary_power_law,symbolic,0.6646807770586272,0.0,0.0,0.0,0.0,0.0,0.00825844336366387,0.03821480080000139,2.321799677970294,0.0
range_re_high_holdout,DelP_Pa,complexity_penalized_symbolic_lasso,symbolic,0.5557299475262368,0.0,0.0,0.0,0.0,0.0,0.007087856304176748,0.03732764057119257,2.2843894028538756,0.0
