variable,min,max,mean,std
Re,25.0,500.0,218.75,181.46538926197468
Pr,3.0,50.0,19.75,18.606114586339622
Da,1e-06,0.001,0.00027775,0.00041878417770971246
porosity,0.7,0.85,0.7749999999999999,0.055901699437494755
thickness,0.1,0.3,0.2,0.0816496580927726
amplitude,0.0,0.3,0.15,0.0957427107756338
wavelength,0.0,5.0,3.6666666666666665,1.699673171197595
Nuavg,6.596,57.349,17.365791666666667,9.035649766639064
DelP_Pa,3.5391007,4277.312647,324.3969884476562,659.4097111020268
