experiment,target,model,family,MAE,RMSE,MAPE,R2,complexity,physics_violation_rate,sensitivity_p95,extrapolation_stability_index,high_error_detection_AUROC,gpu_requested,gpu_used,expression,notes
geometry_holdout,Nuavg,ordinary_power_law,symbolic,1.428502861213888,2.9345037137555368,6.865548901284613,0.9095690027236265,8.0,0.0,0.015232167097674863,2.24694342037879,0.5416152952738318,False,False,Nuavg = 2.3360084 Re^{0.28443} Pr^{0.300937} Da^{-0.00494506} porosity^{-0.0065046} thickness^{0.15064} exp(-0.204312amplitude) exp(-0.000743547wavelength),Log-linear ordinary least-squares power-law correlation.
geometry_holdout,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.7583057606820098,1.9712414885836336,2.982050066387313,0.959193658888268,14.0,0.0,0.015064788298817718,2.720434623989243,0.6993835432859823,False,False,Nuavg = exp(1.40214 + 5.55469e-05 Re + 0.0573371 log(Re) + 0.0183912 sqrt(Re) + 0.00172736 Pr + 0.0171834 sqrt(Pr) - 0.00190231 log(Da) - 1.35017 sqrt(Da) + 0.844883 thickness - 0.175864 amplitude - 0.0021946 wavelength + 0.0490286 log(Re)log(Pr) + 0.000617299 log(Re)log(Da) - 0.0011719 log(Re)log(porosity)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
geometry_holdout,Nuavg,unconstrained_gp_sr,symbolic,3.7891571418828867,5.107228970477029,20.861764885247492,0.7260832115957014,9.0,0.0,0.010830046481707899,1.933121789835007,0.5207123499806426,False,False,"Nuavg = add(sqrt(add(Re, Pr)), abs(mul(amplitude, Pr)))",Unconstrained genetic-programming symbolic regression.
geometry_holdout,Nuavg,positive_complexity_gp_sr,symbolic,5.413655718210457,7.462906584631737,29.83531273756304,0.41512372590223023,13.0,0.0,0.01040170976068811,1.6303545450408379,0.5398046398046398,False,False,"Nuavg = exp(sqrt(mul(1.334, add(add(mul(1.334, add(log(Pr), porosity)), porosity), porosity))))","Complexity-penalized GP-SR on log target, enforcing positive predictions."
geometry_holdout,Nuavg,certified_symbolic,symbolic,0.7583057606820098,1.9712414885836336,2.982050066387313,0.959193658888268,14.0,0.0,0.015064788298817718,2.720434623989243,0.6993835432859823,False,False,Nuavg = exp(1.40214 + 5.55469e-05 Re + 0.0573371 log(Re) + 0.0183912 sqrt(Re) + 0.00172736 Pr + 0.0171834 sqrt(Pr) - 0.00190231 log(Da) - 1.35017 sqrt(Da) + 0.844883 thickness - 0.175864 amplitude - 0.0021946 wavelength + 0.0490286 log(Re)log(Pr) + 0.000617299 log(Re)log(Da) - 0.0011719 log(Re)log(porosity)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
geometry_holdout,Nuavg,random_forest,black_box,0.7348479528808619,1.7763350638838298,2.547261480956536,0.9668641763224449,1758936.0,0.0,0.0005524359302203707,2.8118289790540314,0.7727657166681556,False,False,Nuavg = RandomForestRegressor(...),Accuracy reference; not a publishable explicit correlation.
geometry_holdout,Nuavg,xgboost_hist,black_box,0.5071396776154637,1.1775408739832234,1.9573856099780609,0.9854387058411296,600.0,0.0,0.0,2.0580719229042854,0.8382917895113017,True,True,Nuavg = XGBRegressor(...),XGBoost baseline requested CUDA device on the RTX GPU.
sparse_20,Nuavg,ordinary_power_law,symbolic,1.2670914273705158,2.401808083200952,6.582537808839163,0.9354467047965755,8.0,0.0,0.014933969774455201,2.205081051569971,0.5991162125490483,False,False,Nuavg = 2.3357102 Re^{0.282447} Pr^{0.304111} Da^{-0.00424435} porosity^{-0.0597556} thickness^{0.15393} exp(-0.0278585amplitude) exp(-0.00720884wavelength),Log-linear ordinary least-squares power-law correlation.
sparse_20,Nuavg,complexity_penalized_symbolic_lasso,symbolic,0.6822858673258585,1.5352598086609677,2.967994426465696,0.9736242040969706,14.0,0.0,0.014725837183194526,2.665157142440587,0.6440536873372694,False,False,Nuavg = exp(1.44048 + 6.98611e-05 Re + 0.0493088 log(Re) + 0.0183211 sqrt(Re) + 0.00293608 Pr - 0.00140695 log(Da) - 1.52753 sqrt(Da) + 0.889613 thickness - 0.0997277 amplitude - 0.00471662 wavelength + 0.0516587 log(Re)log(Pr) + 0.00067115 log(Re)log(Da) - 0.00722031 log(Re)log(porosity) - 0.00121674 log(Pr)log(thickness)),"Sparse log-target model over raw, log, sqrt and log-product basis terms."
sparse_20,Nuavg,certified_symbolic,symbolic,0.6822858673258585,1.5352598086609677,2.967994426465696,0.9736242040969706,14.0,0.0,0.014725837183194526,2.665157142440587,0.6440536873372694,False,False,Nuavg = exp(1.44048 + 6.98611e-05 Re + 0.0493088 log(Re) + 0.0183211 sqrt(Re) + 0.00293608 Pr - 0.00140695 log(Da) - 1.52753 sqrt(Da) + 0.889613 thickness - 0.0997277 amplitude - 0.00471662 wavelength + 0.0516587 log(Re)log(Pr) + 0.00067115 log(Re)log(Da) - 0.00722031 log(Re)log(porosity) - 0.00121674 log(Pr)log(thickness)),"Reliability-aware selection of complexity_penalized_symbolic_lasso: Sparse log-target model over raw, log, sqrt and log-product basis terms."
